ident,type,name,latitude_deg,longitude_deg,elevation_ft,state,iata_code
LYBE,large_airport,Belgrade Nikola Tesla Airport,44.81840134,20.3090992,335,0,BEG
RPLL,large_airport,Ninoy Aquino International Airport,14.5086,121.019997,75,0,MNL
BIRK,medium_airport,Reykjavik Airport,64.12999725,-21.94059944,48,1,RKV
BKPR,large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,1,PRN
DATM,small_airport,Bordj Badji Mokhtar Airport,21.3778,0.92698,1303,1,BMW
DAUA,medium_airport,Touat Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,919,1,AZR
DAUT,medium_airport,Timimoun Airport,29.2371006,0.276033014,1027,1,TMX
DIAP,medium_airport,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,21,1,ABJ
DRZA,medium_airport,Mano Dayak International Airport,16.9659996,8.000109673,1657,1,AJY
DRZL,small_airport,Arlit Airport,18.79039955,7.365950108,1443,1,RLT
EFMA,medium_airport,Mariehamn Airport,60.1222,19.898199,17,1,MHQ
ENRY,medium_airport,"Moss Airport, Rygge",59.378817,10.785439,174,1,RYG
FLKL,small_airport,Kalabo Airport,-14.9982996,22.64539909,3450,1,KLB
FLKO,small_airport,Kaoma Airport,-14.80000019,24.78300095,3670,1,KMZ
FLLK,small_airport,Lukulu Airport,-14.37479973,23.24950027,3480,1,LXU
FLMG,medium_airport,Mongu Airport,-15.25450039,23.16230011,3488,1,MNR
FLSN,small_airport,Senanga Airport,-16.113,23.2982,3347,1,SXG
FLSS,small_airport,Sesheke Airport,-17.47629929,24.30470085,3100,1,SJQ
FOOL,medium_airport,Libreville Leon M'ba International Airport,0.458600014,9.412280083,39,1,LBV
GAKA,small_airport,Kenieba Airport,12.83300018,-11.25,449,1,KNZ
GAKY,medium_airport,Kayes Dag Dag Airport,14.48120022,-11.40439987,164,1,KYS
GANR,small_airport,Nioro du Sahel Airport,15.23810005,-9.576109886,778,1,NIX
GAYE,small_airport,Yélimané Airport,15.13300037,-10.56700039,325,1,EYL
GQNH,small_airport,Timbedra Airport,16.2329998,-8.166999817,692,1,TMD
GQNI,small_airport,Néma Airport,16.622,-7.3166,745,1,EMN
HRYR,large_airport,Kigali International Airport,-1.96863,30.1395,4859,1,KGL
HSDB,small_airport,El Debba Airport,18.0146,30.9595,843,1,EDB
HSDN,medium_airport,Dongola Airport,19.15390015,30.43009949,772,1,DOG
HSMN,medium_airport,Merowe New Airport,18.44333333,31.84333333,897,1,MWE
HSSW,small_airport,Wadi Halfa Airport,21.802698,31.521578,933,1,WHF
HTAR,medium_airport,Arusha Airport,-3.367789984,36.63330078,4550,1,ARK
HTKJ,medium_airport,Kilimanjaro International Airport,-3.42941,37.074501,2932,1,JRO
LTAF,large_airport,Adana Şakirpaşa Airport,36.982201,35.280399,65,1,ADA
LTAG,medium_airport,İncirlik Air Base,37.002102,35.4259,238,1,UAB
MDJB,medium_airport,La Isabela International Airport,18.57250023,-69.98560333,98,1,JBQ
MDSD,large_airport,Las Américas International Airport,18.42970085,-69.66889954,59,1,SDQ
MKJP,large_airport,Norman Manley International Airport,17.93569946,-76.78749847,10,1,KIN
MPBO,medium_airport,Bocas Del Toro International Airport,9.340849876,-82.25080109,10,1,BOC
MPCH,medium_airport,Cap Manuel Niño International Airport,9.458962,-82.515062,19,1,CHX
MULM,medium_airport,La Coloma Airport,22.33609962,-83.64189911,131,1,LCL
MUSJ,medium_airport,San Julian Air Base,22.09530067,-84.15200043,98,1,SNJ
MY-GTK,small_airport,Sungai Tekai Airport,2.64118,102.89297,160,1,GTK
NFTE,small_airport,Kaufana Airport,-21.37829971,-174.9579926,325,1,EUA
OEDM,medium_airport,King Salman Abdulaziz Airport,24.4499,44.121201,3026,1,DWD
