year, month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,1,AA,American Airlines Inc.,ABQ,236,44,15.98,0.36,5.15,1,21.52,3,1,2269,772,15,222,119,1141
2020,1,AA,American Airlines Inc.,ALB,83,23,4.57,0,16.48,0,1.95,0,1,796,285,0,383,0,128
2020,1,AA,American Airlines Inc.,AMA,25,5,2.95,0,0.31,0,1.74,1,0,179,137,0,9,0,33
2020,1,AA,American Airlines Inc.,ATL,899,146,56.67,5.4,36.89,0,47.03,8,1,9500,4561,269,1888,0,2782
2020,1,AA,American Airlines Inc.,AUS,919,155,57.02,4.76,44.81,1,47.41,5,1,8096,3022,622,1763,19,2670
2020,1,AA,American Airlines Inc.,BDL,326,39,13.69,0.83,10.85,0,13.63,1,0,1701,495,22,298,0,886
2020,1,AA,American Airlines Inc.,BHM,47,9,1.85,0.01,2.24,0,4.9,1,0,614,74,2,138,0,400
2020,1,AA,American Airlines Inc.,BNA,592,82,43.96,1.28,14.32,0,22.45,3,0,4114,2464,42,518,0,1090
2020,1,AA,American Airlines Inc.,BOI,76,18,7.57,0.03,3.92,0,6.47,0,0,623,281,1,102,0,239
2020,1,AA,American Airlines Inc.,BOS,1953,248,84.14,6.48,45.06,0,112.32,19,0,15743,5393,445,1451,0,8454
2020,1,AA,American Airlines Inc.,BUF,105,11,6.67,1,1.83,0,1.51,2,0,516,307,26,45,0,138
2020,1,AA,American Airlines Inc.,BUR,65,19,7.83,0,6.23,0,4.94,2,0,650,286,0,158,0,206
2020,1,AA,American Airlines Inc.,BWI,365,65,24.22,0,26.36,0.37,14.05,1,0,2566,1184,0,553,7,822
2020,1,AA,American Airlines Inc.,BZN,36,4,2.63,0,1,0,0.37,0,0,166,89,0,50,0,27
2020,1,AA,American Airlines Inc.,CHS,148,19,7.02,0,3.22,1,7.76,1,0,1098,349,0,110,22,617
2020,1,AA,American Airlines Inc.,CLE,148,15,9.64,0,2.71,0,2.64,1,0,517,392,0,54,0,71
2020,1,AA,American Airlines Inc.,CLT,8559,1059,348.51,20.07,331.95,2.51,355.97,22,7,72711,34120,1402,10114,62,27013
2020,1,AA,American Airlines Inc.,CMH,191,31,11.64,1.05,7.6,0,10.71,1,0,1583,588,36,212,0,747
2020,1,AA,American Airlines Inc.,COS,143,24,11.93,0.84,3.44,0,7.79,3,0,897,562,37,102,0,196
2020,1,AA,American Airlines Inc.,CVG,73,5,0.7,0.32,1,0,2.98,1,0,541,129,12,17,0,383
2020,1,AA,American Airlines Inc.,DAB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,AA,American Airlines Inc.,DCA,2259,249,84.51,5.64,62.67,0.1,96.09,17,1,15332,5224,472,2009,10,7617
2020,1,AA,American Airlines Inc.,DEN,755,124,55.4,4.17,30.29,1.71,32.43,9,2,6309,2456,199,1147,127,2380
2020,1,AA,American Airlines Inc.,DFW,11965,2039,498.39,55.18,784.75,3.3,697.38,171,35,147889,51075,5892,36705,134,54083
2020,1,AA,American Airlines Inc.,DSM,133,28,13.85,0.49,3.88,0,9.78,5,0,1436,686,35,151,0,564
2020,1,AA,American Airlines Inc.,DTW,407,53,20.74,0.48,7.82,0,23.96,3,0,3175,1481,26,305,0,1363
2020,1,AA,American Airlines Inc.,EGE,209,54,21.15,5.8,19.83,0,7.23,7,9,3852,1429,623,986,0,814
2020,1,AA,American Airlines Inc.,ELP,177,25,9.06,0.52,7.33,0,8.09,3,0,1258,423,28,299,0,508
2020,1,AA,American Airlines Inc.,EWR,627,135,33.55,3.01,66.99,0,31.45,4,0,6761,2221,146,2512,0,1882
2020,1,AA,American Airlines Inc.,EYW,31,7,3.13,0,0.89,0,2.98,0,0,507,197,0,51,0,259
2020,1,AA,American Airlines Inc.,FAR,31,1,0.94,0,0.06,0,0,2,0,106,100,0,6,0,0
2020,1,AA,American Airlines Inc.,FAT,79,11,1.75,0.58,3.15,0,5.52,0,0,672,57,89,158,0,368
2020,1,AA,American Airlines Inc.,FLL,694,127,36.95,7.06,52.48,0.94,29.56,4,1,5464,1539,305,1726,34,1860
2020,1,AA,American Airlines Inc.,GEG,51,7,0.77,0,3.46,0,2.77,0,0,233,19,0,72,0,142
2020,1,AA,American Airlines Inc.,GRR,59,12,3.79,0,5.56,0,2.64,0,0,620,267,0,138,0,215
2020,1,AA,American Airlines Inc.,GSO,58,12,4.71,0.51,2.16,0,4.62,1,0,787,315,69,44,0,359
2020,1,AA,American Airlines Inc.,GSP,58,15,5.72,0.33,2.28,0,6.68,0,0,1393,375,54,110,0,854
2020,1,AA,American Airlines Inc.,GUC,37,10,5.37,0.02,1.54,0,3.07,0,0,597,395,1,38,0,163
2020,1,AA,American Airlines Inc.,HDN,37,13,4.04,0,6.46,0,2.5,0,1,376,120,0,186,0,70
2020,1,AA,American Airlines Inc.,HNL,253,51,26.3,2.73,10.47,0,11.5,0,1,3205,1213,73,350,0,1569
2020,1,AA,American Airlines Inc.,IAD,151,15,5.51,0.49,3.84,0,5.16,0,0,955,319,48,247,0,341
2020,1,AA,American Airlines Inc.,IAH,544,120,49.67,2.64,31.56,0,36.13,5,1,5493,2228,484,1124,0,1657
2020,1,AA,American Airlines Inc.,ICT,53,9,4.53,0.55,0.81,0,3.1,1,0,507,176,65,32,0,234
2020,1,AA,American Airlines Inc.,ILM,110,9,3.17,0,3.67,0,2.16,0,1,263,91,0,97,0,75
2020,1,AA,American Airlines Inc.,IND,280,56,25.86,2.17,10.82,0,17.15,1,0,3278,1004,236,615,0,1423
2020,1,AA,American Airlines Inc.,JAC,60,10,3.91,0,3.71,0,2.39,1,0,526,173,0,130,0,223
2020,1,AA,American Airlines Inc.,JAX,294,47,15.34,0.63,15.22,0,15.81,2,0,2123,737,69,428,0,889
2020,1,AA,American Airlines Inc.,JFK,1309,198,78.14,2.66,68.78,0.12,48.31,4,2,16397,7185,243,3023,2,5944
2020,1,AA,American Airlines Inc.,KOA,93,8,2.18,0,3.61,0,2.22,0,0,593,306,0,188,0,99
2020,1,AA,American Airlines Inc.,LAS,1260,196,85.23,13.62,44.61,1,51.55,5,1,12237,6257,1408,1550,18,3004
2020,1,AA,American Airlines Inc.,LAX,3516,528,167.46,17.84,190.78,1.36,150.56,12,2,37214,15475,1411,6580,123,13625
2020,1,AA,American Airlines Inc.,LBB,33,9,2.67,0.8,0.89,0,4.64,0,0,551,162,86,29,0,274
2020,1,AA,American Airlines Inc.,LGA,1986,323,89.36,10.3,129.86,0.76,92.72,24,1,18998,5407,538,5356,19,7678
2020,1,AA,American Airlines Inc.,LIH,79,19,9.01,0,2.22,0,7.77,0,2,2106,928,0,82,0,1096
2020,1,AA,American Airlines Inc.,MAF,42,10,2.61,0,1.18,0,6.2,2,0,398,80,0,23,0,295
2020,1,AA,American Airlines Inc.,MCI,420,70,28.27,6.45,14.35,0,20.94,11,1,3504,1356,378,442,0,1328
2020,1,AA,American Airlines Inc.,MCO,1546,252,97.55,7.13,73.23,1.95,72.15,11,0,13336,6502,453,2737,118,3526
2020,1,AA,American Airlines Inc.,MDT,54,13,5.26,0,2.88,0,4.86,0,0,421,177,0,57,0,187
2020,1,AA,American Airlines Inc.,MEM,366,54,19.97,1.82,9.03,0.03,23.16,1,0,2407,859,199,384,1,964
2020,1,AA,American Airlines Inc.,MFE,96,19,7.45,0.55,5.26,0,5.74,2,0,720,257,39,217,0,207
2020,1,AA,American Airlines Inc.,MIA,4484,605,244.6,19.38,164.47,2,174.55,19,3,44642,20779,1488,5555,133,16687
2020,1,AA,American Airlines Inc.,MKE,125,25,11.15,0.14,8.3,0,5.4,1,0,985,380,31,252,0,322
2020,1,AA,American Airlines Inc.,MLB,25,4,2.43,0,0.09,0,1.48,0,0,365,203,0,11,0,151
2020,1,AA,American Airlines Inc.,MSN,50,16,8.91,0.64,1.83,0.34,4.28,0,0,1792,1043,90,109,34,516
2020,1,AA,American Airlines Inc.,MSP,408,64,31.63,0,11.63,1,19.74,4,0,3127,1764,0,363,25,975
2020,1,AA,American Airlines Inc.,MSY,506,81,32.77,2.21,23.77,0,22.24,7,1,4876,1899,226,1045,0,1706
2020,1,AA,American Airlines Inc.,MTJ,38,5,2.23,0,1.77,0,1,0,0,166,62,0,51,0,53
2020,1,AA,American Airlines Inc.,MYR,31,5,0.95,0,1.64,0,2.41,0,0,204,62,0,70,0,72
2020,1,AA,American Airlines Inc.,OAK,83,14,6.9,0,1.88,0,5.21,0,0,612,307,0,45,0,260
2020,1,AA,American Airlines Inc.,OGG,164,20,8.99,0.2,6.45,0,4.35,0,0,838,325,13,245,0,255
2020,1,AA,American Airlines Inc.,OKC,154,29,11.87,1.47,6.6,0,9.06,4,0,1467,459,58,296,0,654
2020,1,AA,American Airlines Inc.,OMA,134,19,10.4,0,2.91,0,5.69,1,0,906,502,0,98,0,306
2020,1,AA,American Airlines Inc.,ONT,325,48,20.11,3.26,5.14,0,19.49,2,2,2725,1294,289,112,0,1030
2020,1,AA,American Airlines Inc.,ORD,4646,511,177.77,11.06,158.69,0.57,162.91,139,13,39914,16861,3344,7072,16,12621
2020,1,AA,American Airlines Inc.,ORF,182,24,11.31,0.26,3.66,0,8.77,0,0,1144,506,52,147,0,439
2020,1,AA,American Airlines Inc.,PBI,540,67,22.65,2.57,22.85,0,18.93,3,0,2758,948,97,698,0,1015
2020,1,AA,American Airlines Inc.,PDX,230,37,12.55,1.4,15.73,0,7.32,2,1,1298,465,71,472,0,290
2020,1,AA,American Airlines Inc.,PHL,3416,520,193.24,11.14,139.97,1.75,173.9,16,8,46462,21468,1130,5115,51,18698
2020,1,AA,American Airlines Inc.,PHX,5161,651,224.62,15.76,199.5,1.72,209.4,29,5,55426,28256,1217,6155,48,19750
2020,1,AA,American Airlines Inc.,PIT,434,49,19.19,0.57,9.29,0,19.95,4,0,2489,1097,30,306,0,1056
2020,1,AA,American Airlines Inc.,PNS,34,6,0.38,0,1.07,0,4.55,0,0,307,22,0,63,0,222
2020,1,AA,American Airlines Inc.,PSP,147,25,6.76,1.34,8.02,1,7.88,3,0,1243,329,30,338,132,414
2020,1,AA,American Airlines Inc.,PVD,127,18,6.84,0,7.15,0,4.01,0,0,1154,423,0,147,0,584
2020,1,AA,American Airlines Inc.,PWM,67,7,4.33,0,1,0,1.67,0,0,581,376,0,34,0,171
2020,1,AA,American Airlines Inc.,RDU,872,96,35.23,3.94,15.73,0,41.1,3,0,5850,2210,252,563,0,2825
2020,1,AA,American Airlines Inc.,RIC,184,40,15.77,0.32,14.93,0,8.98,1,0,1706,1007,8,326,0,365
2020,1,AA,American Airlines Inc.,RNO,207,22,10.17,0.79,5.59,0,5.45,1,1,1045,427,85,149,0,384
2020,1,AA,American Airlines Inc.,ROC,47,5,3.94,0.7,0.36,0,0,0,0,178,156,14,8,0,0
2020,1,AA,American Airlines Inc.,RSW,543,108,37.83,6,32.68,0,31.5,4,0,5698,1809,333,1201,0,2355
2020,1,AA,American Airlines Inc.,SAN,754,108,44,5.27,27.18,1,30.55,6,2,5599,2240,566,885,17,1891
2020,1,AA,American Airlines Inc.,SAT,650,104,40.92,8.03,15.79,0.07,39.19,6,3,5115,2128,612,615,5,1755
2020,1,AA,American Airlines Inc.,SAV,43,9,1.74,0,0.19,0,7.07,1,0,631,75,0,14,0,542
2020,1,AA,American Airlines Inc.,SBA,40,2,0.19,0,1,0,0.81,0,0,186,30,0,29,0,127
2020,1,AA,American Airlines Inc.,SDF,35,5,2.64,0,2.36,0,0,0,0,393,268,0,125,0,0
2020,1,AA,American Airlines Inc.,SEA,481,98,35.85,1.74,39.93,0,20.47,2,0,4836,1552,340,1301,0,1643
2020,1,AA,American Airlines Inc.,SFO,1087,202,63.56,4.52,99.75,0.1,34.08,8,1,12783,4970,366,5429,3,2015
2020,1,AA,American Airlines Inc.,SJC,309,45,16.25,1.26,13.02,0,14.47,2,0,2235,805,54,518,0,858
2020,1,AA,American Airlines Inc.,SJU,395,70,30.1,1.05,16.2,1,21.65,1,2,5070,2476,43,535,56,1960
2020,1,AA,American Airlines Inc.,SLC,393,55,22.75,1.52,13.48,1.43,15.82,3,0,2782,1055,217,454,198,858
2020,1,AA,American Airlines Inc.,SMF,301,54,19.92,1.74,10.18,0.36,21.8,2,0,2885,938,136,328,9,1474
2020,1,AA,American Airlines Inc.,SNA,477,59,28.78,4.67,9.98,0.5,15.07,2,0,3076,1655,271,343,65,742
2020,1,AA,American Airlines Inc.,SRQ,29,4,0.86,0,1,0,2.14,0,0,161,29,0,22,0,110
2020,1,AA,American Airlines Inc.,STL,651,96,40.9,6.81,21.15,0,27.13,12,0,4952,2166,271,640,0,1875
2020,1,AA,American Airlines Inc.,STT,155,25,16.18,1.3,5.65,0,1.87,0,0,1331,983,38,258,0,52
2020,1,AA,American Airlines Inc.,STX,71,5,2.26,0,0.74,0.86,1.15,0,0,311,102,0,30,34,145
2020,1,AA,American Airlines Inc.,SYR,113,14,5.73,1.52,2.46,0,4.29,1,0,702,322,40,63,0,277
2020,1,AA,American Airlines Inc.,TPA,1074,175,66.3,3.82,50.61,1,53.27,5,3,8435,3172,224,1801,33,3205
2020,1,AA,American Airlines Inc.,TUL,207,51,22.39,1.31,5.26,0,22.04,4,0,3004,1012,327,140,0,1525
2020,1,AA,American Airlines Inc.,TUS,334,64,23.05,1.87,14.78,0.97,23.33,3,0,3657,1142,176,522,144,1673
2020,1,AA,American Airlines Inc.,VPS,33,10,1.57,0,0.64,0,7.79,0,1,1128,142,0,17,0,969
2020,1,AA,American Airlines Inc.,XNA,57,13,5.16,0,0.71,0,7.13,1,1,530,225,0,20,0,285
2020,1,B6,JetBlue Airways,ABQ,20,1,0,0,1,0,0,0,0,22,0,0,22,0,0
2020,1,B6,JetBlue Airways,ALB,62,6,2.13,0,2.82,0,1.05,0,0,345,83,0,96,0,166
2020,1,B6,JetBlue Airways,ATL,293,37,19.24,0,8.93,0.88,7.95,0,1,2261,1275,0,436,15,535
2020,1,B6,JetBlue Airways,AUS,205,33,17.47,0,11.19,0,4.34,0,0,1971,1421,0,281,0,269
2020,1,B6,JetBlue Airways,BDL,320,52,18.47,0,3.52,0,30.01,0,1,3120,1354,0,131,0,1635
2020,1,B6,JetBlue Airways,BNA,73,9,4.92,0,4.08,0,0,0,0,340,211,0,129,0,0
2020,1,B6,JetBlue Airways,BOS,4495,584,204,5.98,143.65,0.18,230.18,4,5,36981,15831,500,4731,10,15909
2020,1,B6,JetBlue Airways,BQN,112,18,4.14,0,5.19,0,8.67,0,0,797,199,0,145,0,453
2020,1,B6,JetBlue Airways,BTV,93,23,11.45,1.68,1.5,0,8.37,0,0,1696,817,236,100,0,543
2020,1,B6,JetBlue Airways,BUF,330,56,28.68,1,7.25,0,19.08,0,0,4634,2223,272,254,0,1885
2020,1,B6,JetBlue Airways,BUR,70,8,6.43,0,1.19,0,0.38,0,4,605,576,0,23,0,6
2020,1,B6,JetBlue Airways,BWI,116,14,9.04,0,2.42,0,2.54,0,1,1118,729,0,158,0,231
2020,1,B6,JetBlue Airways,BZN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,B6,JetBlue Airways,CHS,125,18,11.15,0,2.69,0,4.16,0,0,1237,681,0,167,0,389
2020,1,B6,JetBlue Airways,CLE,129,12,7.17,0,3.47,0,1.36,0,0,603,306,0,168,0,129
2020,1,B6,JetBlue Airways,CLT,129,9,4.36,0,3.73,0,0.91,0,0,345,220,0,100,0,25
2020,1,B6,JetBlue Airways,DCA,856,104,52.75,1.56,23.72,0,25.96,0,0,7716,4641,71,829,0,2175
2020,1,B6,JetBlue Airways,DEN,85,13,5.09,0,5.11,0,2.8,0,2,439,193,0,160,0,86
2020,1,B6,JetBlue Airways,DFW,51,9,2.7,0,5.56,0,0.74,0,0,1146,456,0,644,0,46
2020,1,B6,JetBlue Airways,DTW,99,16,11.29,0,2.37,0,2.34,0,0,569,391,0,91,0,87
2020,1,B6,JetBlue Airways,EWR,891,235,66.8,2.04,122.85,0,43.31,0,0,15392,4886,316,6652,0,3538
