YEAR,MONTH,CARRIER,CARRIER_NAME,EMPFULL,EMPPART,EMPTOTAL
2020,1,AA,American Airlines Inc.,95612,11840,107452
2020,2,AA,American Airlines Inc.,96021,11884,107905
2020,3,AA,American Airlines Inc.,97373,11735,109108
2020,4,AA,American Airlines Inc.,97083,11496,108579
2020,5,AA,American Airlines Inc.,96062,11284,107346
2020,6,AA,American Airlines Inc.,96061,11191,107252
2020,7,AA,American Airlines Inc.,95792,11236,107028
2020,8,AA,American Airlines Inc.,95312,11232,106544
2020,9,AA,American Airlines Inc.,95197,10973,106170
2020,10,AA,American Airlines Inc.,79281,11565,90846
2020,11,AA,American Airlines Inc.,78761,11613,90374
2020,12,AA,American Airlines Inc.,88418,12587,101005
2020,1,DL,Delta Air Lines Inc.,80582,10245,90827
2020,2,DL,Delta Air Lines Inc.,81177,10239,91416
2020,3,DL,Delta Air Lines Inc.,80179,9801,89980
2020,4,DL,Delta Air Lines Inc.,57498,4512,62010
2020,5,DL,Delta Air Lines Inc.,47581,3403,50984
2020,6,DL,Delta Air Lines Inc.,47877,3591,51468
2020,7,DL,Delta Air Lines Inc.,56513,5563,62076
2020,8,DL,Delta Air Lines Inc.,57630,5716,63346
2020,9,DL,Delta Air Lines Inc.,55767,5743,61510
2020,10,DL,Delta Air Lines Inc.,55384,5845,61229
2020,11,DL,Delta Air Lines Inc.,56393,5885,62278
2020,12,DL,Delta Air Lines Inc.,56827,5959,62786
2020,1,B6,JetBlue Airways,16738,4860,21598
2020,2,B6,JetBlue Airways,16856,4865,21721
2020,3,B6,JetBlue Airways,16745,4801,21546
2020,4,B6,JetBlue Airways,16756,4778,21534
2020,5,B6,JetBlue Airways,16470,5155,21625
2020,6,B6,JetBlue Airways,16418,5138,21556
2020,7,B6,JetBlue Airways,16389,5028,21417
2020,8,B6,JetBlue Airways,16246,4661,20907
2020,9,B6,JetBlue Airways,15735,3913,19648
2020,10,B6,JetBlue Airways,15539,3709,19248
2020,11,B6,JetBlue Airways,15464,3650,19114
2020,12,B6,JetBlue Airways,15377,3605,18982
2020,1,WN,Southwest Airlines Co.,59914,2302,62216
2020,2,WN,Southwest Airlines Co.,60092,2344,62436
2020,3,WN,Southwest Airlines Co.,59763,2318,62081
2020,4,WN,Southwest Airlines Co.,59866,2325,62191
2020,5,WN,Southwest Airlines Co.,60012,2333,62345
2020,6,WN,Southwest Airlines Co.,59947,2341,62288
2020,7,WN,Southwest Airlines Co.,59726,2318,62044
2020,8,WN,Southwest Airlines Co.,59355,2333,61688
2020,9,WN,Southwest Airlines Co.,56834,2194,59028
2020,10,WN,Southwest Airlines Co.,55992,2142,58134
2020,11,WN,Southwest Airlines Co.,55845,2109,57954
2020,12,WN,Southwest Airlines Co.,55500,2074,57574
2020,1,UA,United Air Lines Inc.,80145,11892,92037
2020,2,UA,United Air Lines Inc.,80362,11887,92249
2020,3,UA,United Air Lines Inc.,80239,11324,91563
2020,4,UA,United Air Lines Inc.,78370,8999,87369
2020,5,UA,United Air Lines Inc.,76053,7670,83723
2020,6,UA,United Air Lines Inc.,74779,7449,82228
2020,7,UA,United Air Lines Inc.,71580,7229,78809
2020,8,UA,United Air Lines Inc.,70558,7343,77901
2020,9,UA,United Air Lines Inc.,70310,6911,77221
2020,10,UA,United Air Lines Inc.,54639,7681,62320
2020,11,UA,United Air Lines Inc.,54411,7871,62282
2020,12,UA,United Air Lines Inc.,54725,7860,62585
