Year,Month,Airline,Domestic,International
2020,1,American Airlines Inc.,9856466.00,2352569.00
2020,2,American Airlines Inc.,9497925.00,2099377.00
2020,3,American Airlines Inc.,5358364.00,1184413.00
2020,4,American Airlines Inc.,632751.00,25466.00
2020,5,American Airlines Inc.,1659960.00,45679.00
2020,6,American Airlines Inc.,2960275.00,135940.00
2020,7,American Airlines Inc.,4303170.00,330341.00
2020,8,American Airlines Inc.,4337403.00,349851.00
2020,9,American Airlines Inc.,4538441.00,356600.00
2020,10,American Airlines Inc.,5096586.00,536262.00
2020,1,Delta Air Lines Inc.,10249349.00,2059896.00
2020,2,Delta Air Lines Inc.,9960370.00,1754317.00
2020,3,Delta Air Lines Inc.,5489866.00,977209.00
2020,4,Delta Air Lines Inc.,452074.00,34557.00
2020,5,Delta Air Lines Inc.,843603.00,28311.00
2020,6,Delta Air Lines Inc.,1539090.00,59655.00
2020,7,Delta Air Lines Inc.,2417946.00,151924.00
2020,8,Delta Air Lines Inc.,3194715.00,225165.00
2020,9,Delta Air Lines Inc.,3316398.00,238639.00
2020,10,Delta Air Lines Inc.,3731065.00,331319.00
2020,1,JetBlue Airways,2567109.00,661196.00
2020,2,JetBlue Airways,2538106.00,584677.00
2020,3,JetBlue Airways,1454199.00,358674.00
2020,4,JetBlue Airways,82183.00,5376.00
2020,5,JetBlue Airways,127256.00,9573.00
2020,6,JetBlue Airways,369253.00,21341.00
2020,7,JetBlue Airways,563354.00,202588.00
2020,8,JetBlue Airways,500010.00,217134.00
2020,9,JetBlue Airways,472761.00,202983.00
2020,10,JetBlue Airways,718477.00,245334.00
2020,1,Southwest Airlines Co.,11576961.00,301516.00
2020,2,Southwest Airlines Co.,11205802.00,277625.00
2020,3,Southwest Airlines Co.,6216128.00,200672.00
2020,4,Southwest Airlines Co.,515728.00,0.00
2020,5,Southwest Airlines Co.,1836192.00,0.00
2020,6,Southwest Airlines Co.,4637817.00,0.00
2020,7,Southwest Airlines Co.,5078480.00,41048.00
2020,8,Southwest Airlines Co.,5066500.00,46434.00
2020,9,Southwest Airlines Co.,4786829.00,45171.00
2020,10,Southwest Airlines Co.,5157309.00,64498.00
2020,1,United Air Lines Inc.,2284334.00,8695401.00
2020,2,United Air Lines Inc.,1863176.00,7948331.00
2020,3,United Air Lines Inc.,1063399.00,4530689.00
2020,4,United Air Lines Inc.,35529.00,221020.00
2020,5,United Air Lines Inc.,54538.00,451318.00
2020,6,United Air Lines Inc.,96671.00,757946.00
2020,7,United Air Lines Inc.,186585.00,1393926.00
2020,8,United Air Lines Inc.,305996.00,2096559.00
2020,9,United Air Lines Inc.,310443.00,2131539.00
2020,10,United Air Lines Inc.,404841.00,3101937.00
