Year,Month,Airline,Domestic,International,Total
2020,1,American Airlines Inc.,12600658,7305902,19906560
2020,2,American Airlines Inc.,11869527,6199692,18069219
2020,3,American Airlines Inc.,10985368,4211108,15196476
2020,4,American Airlines Inc.,4155339,417853,4573192
2020,5,American Airlines Inc.,3455736,429196,3884933
2020,6,American Airlines Inc.,4409557,778156,5187714
2020,7,American Airlines Inc.,7510347,1347955,8858302
2020,8,American Airlines Inc.,7419696,1540468,8960164
2020,9,American Airlines Inc.,6253012,1486465,7739478
2020,10,American Airlines Inc.,6640807,1834678,8475484
2020,1,Delta Air Lines Inc.,12600658,7305902,19906560
2020,2,Delta Air Lines Inc.,11869527,6199692,18069219
2020,3,Delta Air Lines Inc.,10985368,4211108,15196476
2020,4,Delta Air Lines Inc.,4155339,417853,4573192
2020,5,Delta Air Lines Inc.,3455736,429196,3884933
2020,6,Delta Air Lines Inc.,4409557,778156,5187714
2020,7,Delta Air Lines Inc.,7510347,1347955,8858302
2020,8,Delta Air Lines Inc.,7419696,1540468,8960164
2020,9,Delta Air Lines Inc.,6253012,1486465,7739478
2020,10,Delta Air Lines Inc.,6640807,1834678,8475484
2020,1,JetBlue Airways,4204532,1148511,5353043
2020,2,JetBlue Airways,4044178,1029969,5074147
2020,3,JetBlue Airways,3703124,759358,4462481
2020,4,JetBlue Airways,801554,21661,823215
2020,5,JetBlue Airways,448842,32032,480873
2020,6,JetBlue Airways,1052743,55400,1108143
2020,7,JetBlue Airways,2138875,660496,2799371
2020,8,JetBlue Airways,1577677,644806,2222483
2020,9,JetBlue Airways,1362032,523002,1885034
2020,10,JetBlue Airways,1884380,601418,2485798
2020,1,Southwest Airlines Co.,12035796,355977,12391774
2020,2,Southwest Airlines Co.,11183564,326854,11510418
2020,3,Southwest Airlines Co.,11134969,313631,11448601
2020,4,Southwest Airlines Co.,5489390,0,5489390
2020,5,Southwest Airlines Co.,4877194,0,4877194
2020,6,Southwest Airlines Co.,7521825,0,7521825
2020,7,Southwest Airlines Co.,9442501,105256,9547757
2020,8,Southwest Airlines Co.,9532175,97581,9629756
2020,9,Southwest Airlines Co.,7191332,96321,7287653
2020,10,Southwest Airlines Co.,7266101,142278,7408379
2020,1,United Air Lines Inc.,9975155,20133347,20133347
2020,2,United Air Lines Inc.,9638937,8246827,17885763
2020,3,United Air Lines Inc.,9020064,6091270,15111334
2020,4,United Air Lines Inc.,1742965,566907,2309872
2020,5,United Air Lines Inc.,1363340,765795,2129135
2020,6,United Air Lines Inc.,1524141,912165,2436307
2020,7,United Air Lines Inc.,3110177,1659587,4769764
2020,8,United Air Lines Inc.,4435060,2487133,6922193
2020,9,United Air Lines Inc.,3667339,2727023,6394361
2020,10,United Air Lines Inc.,4862524,3079711,7942236
